a52dec 0.7.4-11
st 0.8.4-1
startup-notification 0.12-7
steam 1.0.0.64-1
strace 5.7-1
sudo 1.9.2-1
suil 0.10.6-2
supermin 5.2.0-2
swig 4.0.2-1
sxhkd 0.6.2-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 246.1-1
systemd-libs 246.1-1
systemd-sysvcompat 246.1-1
taglib 1.11.1-4
tar 1.32-3
tcl 8.6.10-2
tdb 1.4.3-2
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
timeshift 20.03-1
traceroute 2.1.0-5
transmission-gtk 3.00-2
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-font-awesome 5.14.0-1
ttf-joypixels 6.0.0-1
ttf-liberation 2.1.1-1
ttf-linux-libertine 5.3.0-5
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-2
ttf-roboto 2.138-4
ttf-symbola 13.00-7
ttf-ubuntu-font-family 0.83-6
twolame 0.4.0-2
tzdata 2020a-1
udisks2 2.9.0-1
unibilium 2.1.0-2
unrar 1:5.9.4-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbredir 0.8.0-2
usbutils 012-2
uthash 2.1.0-2
util-linux 2.36-1
v4l-utils 1.20.0-1
valgrind 3.16.1-1
vamp-plugin-sdk 2.10.0-1
vde2 2.3.2-14
vid.stab 1.1-3
vim 8.2.0814-3
vim-runtime 8.2.0814-3
virglrenderer 0.8.2-1
virt-install 2.2.1-2
virt-manager 2.2.1-2
virt-viewer 8.0-2
vlc 3.0.11.1-1
vmaf 1.5.2-1
volume_key 0.3.12-3
vte-common 0.60.3-1
vte3 0.60.3-1
vulkan-icd-loader 1.2.148-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.4-1
webrtc-audio-processing 0.3.1-2
wget 1.20.3-3
which 2.21-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.1-1
wxgtk-common 3.0.5.1-1
wxgtk3 3.0.5.1-1
x264 3:0.160.r3011.cde9a93-1
x265 3.4-1
xapps 1.8.8-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.2-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xfce4-terminal 0.8.9.2-1
xfconf 4.14.3-1
xfsprogs 5.6.0-2
xkeyboard-config 2.30-2
xmlto 0.0.28-4
xorg-fonts-encodings 1.0.5-2
xorg-fonts-type1 7.7-6
xorg-server 1.20.8-3
xorg-server-common 1.20.8-3
xorg-server-xwayland 1.20.8-3
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xkbcomp 1.4.3-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2020.1-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-1
yajl 2.1.0-3
yara 4.0.2-1
yay 10.0.3-1
youtube-dl 2020.07.28-1
zenity 3.32.0+50+gc229637-1
zeromq 4.3.2-2
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.5-1
